name,acronym,website,description,donate_url,involvement_url,facebook_url,twitter_handle,categories
American Civil Liberties Union,ACLU,https://www.aclu.org/,"For almost 100 years, the ACLU has worked to defend and preserve the individual rights and liberties guaranteed by the Constitution and laws of the United States.",https://action.aclu.org/secure/protect-rights-freedoms-we-believe-0,https://www.aclu.org/how-you-can-help,https://www.facebook.com/aclu.nationwide,@aclu,civil_rights
Southern Poverty Law Center,SPLC,https://www.splcenter.org,"The SPLC is dedicated to fighting hate and bigotry and to seeking justice for the most vulnerable members of our society. Using litigation, education, and other forms of advocacy, the SPLC works toward the day when the ideals of equal justice and equal opportunity will be a reality.",https://donate.splcenter.org/sslpage.aspx,https://www.splcenter.org/support-us,https://www.facebook.com/SPLCenter,@splcenter,civil_rights
National Latina Institute for Reproductive Health,NLIRH,http://latinainstitute.org/en,"National Latina Institute for Reproductive Health (NLIRH) builds Latina power to guarantee the fundamental human right to reproductive health, dignity and justice. We elevate Latina leaders, mobilize our families and communities, transform the cultural narrative and catalyze policy change.",https://latinainstitute.secure.nonprofitsoapbox.com/donate,http://www.latinainstitute.org/en/get-involved,https://www.facebook.com/NLIRH/,@NLIRH,racial_minorities women reproduction
TransLatin@ Coalition,TLC,https://www.translatinacoalition.org/,The mission of TransLatin@ Coalition is to advocate for the specific needs of the Trans Latin@ community that resides in the U.S.A. and to plan strategies that improve our quality of life.,https://www.translatinacoalition.org/donate/,https://www.translatinacoalition.org/get-involved/,http://www.facebook.com/translatinacoalition,@TransLatina_C,racial_minorities lgbt
Border Angels,,http://www.borderangels.org/,"Border Angels is an all volunteer, non profit organisation that advocates for human rights, humane immigration reform, and social justice with a special focus on issues related to issues related to the US-Mexican border. ",http://www.borderangels.org/our-causes/,http://www.borderangels.org/volunteers/,https://www.facebook.com/BorderAngels/?fref=ts,@border_angels,racial_minorities immigrants
Campaign Zero,,http://www.joincampaignzero.org/,"We can live in a world where the police don't kill people by limiting police interventions, improving community interactions, and ensuring accountability.",http://www.joincampaignzero.org/,http://www.staywoke.org/,,@join_campaign_0,civil_rights
Earth Guardians,,http://www.earthguardians.org/,"iuhtezcatl Martinez is not your average kid. Dubbed the 'Anti-Bieber,' he is mobilizing his army of teens in 25 countries to demand greener policy from our world's leaders.",http://www.earthguardians.org/donate,http://www.earthguardians.org/action/,https://www.facebook.com/pages/Earth-Guardians/113066278734489,@earthguardianz,environmental
League of United Latin American Citizens,LULAC,http://lulac.org/,"The Mission of the League of United Latin American Citizens is to advance the economic condition, educational attainment, political influence, housing, health and civil rights of the Hispanic population of the United States.",https://lulac.org/contribute/,https://lulac.org/advocacy/,http://www.facebook.com/pages/LULAC-National/94722630161?v=app_392248091048&ref=sgm,@lulac,racial_minorities
United We Dream,,http://unitedwedream.org/,"We seek to address the inequities and obstacles faced by immigrant youth and believe that by empowering immigrant youth, we can advance the cause of the entire community—justice for all immigrants.",https://actionnetwork.org/fundraising/fund-united-we-dream-action,http://unitedwedream.org/action/join-us/,https://www.facebook.com/UnitedWeDream,@unitedwedream,immigrants
The Trevor Project,,http://www.thetrevorproject.org/,"Founded in 1998 by the creators of the award-winning short film TREVOR, The Trevor Project is the leading national organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) young people ages 13-24.",https://give.thetrevorproject.org/checkout/donation,http://www.thetrevorproject.org/section/get-involved,https://www.facebook.com/TheTrevorProject,@trevorproject,lgbt youth
Center for Reproductive Rights,,https://www.reproductiverights.org/,"For more than 20 years, the Center for Reproductive Rights has used the law to advance reproductive freedom as a fundamental human right that all governments are legally obligated to protect, respect, and fulfill.",https://secure3.convio.net/cfrr/site/Donation2,https://www.reproductiverights.org/take-action,http://www.facebook.com/reproductiverights,@reprorights,women reproduction
Council on American Islamic Relations,CAIR,https://www.cair.com/,"CAIR's mission is to enhance understanding of Islam, encourage dialogue, protect civil liberties, empower American Muslims, and build coalitions that promote justice and mutual understanding.",https://www.cair.com/donations/general-donation/campaign/#/donation,https://www.cair.com/press-center/action-alerts.html,https://www.facebook.com/CAIRNational,@CAIRNational,muslims racial_minorites
NARAL Pro-Choice America,NARAL,http://www.prochoiceamerica.org/index-splash.html,"We are made up of pro-choice women and men across the United States. Together, we're protecting and expanding reproductive freedom.",https://actnow.prochoiceamerica.org/donate/supportnaral/,http://www.prochoiceamerica.org/get-involved/,http://www.facebook.com/naralprochoiceamerica,@naral,women reproduction
National Association for the Advancement of Colored People,NAACP,http://www.naacp.org/,"The mission of the National Association for the Advancement of Colored People (NAACP) is to ensure the political, educational, social, and economic equality of rights of all persons and to eliminate race-based discrimination.",https://donate.naacp.org/page/contribute/make-a-contribution,http://www.naacp.org/membership/,https://www.facebook.com/naacp/,@NAACP,racial_minorities
National Organization for Women,NOW,http://now.org/,"As the grassroots arm of the women’s movement, the National Organization for Women is dedicated to its multi-issue and multi-strategy approach to women’s rights, and is the largest organization of feminist grassroots activists in the United States.",http://now.org/more-ways-to-give/,http://now.org/get-involved/,http://www.facebook.com/NationalNOW,@NationalNOW,women
Planned Parenthood,,https://www.plannedparenthood.org/,"Planned Parenthood believes in the fundamental right of each individual, throughout the world, to manage his or her fertility, regardless of the individual's income, marital status, race, ethnicity, sexual orientation, age, national origin, or residence. - See more at: https://www.plannedparenthood.org/about-us/who-we-are/mission#sthash.TBpzdA3T.dpuf",https://secure.ppaction.org/site/Donation2,https://www.plannedparenthood.org/get-involved,http://www.facebook.com/plannedparenthoodaction,@PPact,women reproduction
Rape Abuse and Incest National Network,RAINN,https://www.rainn.org/index.php,"RAINN (Rape, Abuse & Incest National Network) is the nation's largest anti-sexual violence organization and carries out programs to prevent sexual violence, help victims, and ensure that perpetrators are brought to justice.",https://donate.rainn.org/,https://www.rainn.org/get-involved,https://facebook.com/rainn01,@rainn01,women sexual_abuse
The Young Center for Immigrant Childrens' Rights,,http://theyoungcenter.org/,"The mission of the Young Center for Immigrant Children’s Rights is to promote the best interests of unaccompanied immigrant children with due regard to the child’s expressed wishes, according to the Convention on the Rights of the Child and state and federal law.",https://donatenow.networkforgood.org/TheYoungCenter,http://theyoungcenter.org/act/volunteer/,http://www.facebook.com/TheYoungCenter,@TheYoungCenter,immigrants youth racial_minorities
Know Your IX,KYIX,http://knowyourix.org/,"Founded in 2013, Know Your IX is a survivor- and youth-led organization that aims to empower students to end sexual and dating violence in their schools.",https://actionnetwork.org/fundraising/support-know-your-ix-2,http://knowyourix.org/i-want-to/take-national-action/,https://www.facebook.com/knowyourIX,@knowyourIX,women sexual_abuse
Human Rights Campaign,HRC,http://www.hrc.org/,The Human Rights Campaign and the Human Rights Campaign Foundation together serve as America's largest civil rights organization working to achieve LGBTQ equality.,https://give.hrc.org/ea-action/action?ea.client.id=1954&ea.campaign.id=51848,http://www.hrc.org/support,https://www.facebook.com/humanrightscampaign,@HRC,lgbt
Electronic Frontier Foundation,EFF,https://www.eff.org/,The Electronic Frontier Foundation is the leading nonprofit organization defending civil liberties in the digital world.,https://supporters.eff.org/donate/button,https://act.eff.org/,https://www.facebook.com/eff,@eff,civil_rights
Black Lives Matter,BLM,http://blacklivesmatter.com/,Black Lives Matter is a chapter-based national organization working for the validity of Black life. We are working to (re)build the Black liberation movement.,https://donate.idex.org/checkout/donation,http://blacklivesmatter.com/getinvolved/,http://www.facebook.com/blacklivesmatter,@blacklivesmatter,racial_minorities
International Refugee Assistance Project,IRUP,http://www.refugeerights.org/,The International Refugee Assistance Project (IRAP) organizes law students and lawyers to develop and enforce a set of legal and human rights for refugees and displaced persons.,http://www.refugeerights.org/donate/,http://www.refugeerights.org/hope-help/volunteersinterns/,https://www.facebook.com/RefugeeAssist/,@RefugeeAssist,immigrants
Nationa Sexual Violence Resource Center,NSVRC,http://www.nsvrc.org/,"The NSVRC’s Mission is to provide leadership in preventing and responding to sexual violence through collaboration, sharing and creating resources, and promoting research.",http://www.nsvrc.org/donate,http://www.nsvrc.org/opportunities,http://www.facebook.com/nsvrc,@nsvrc,women sexual_abuse
Gay and Lesbian Alliance Against Defamation,GLAAD,http://www.glaad.org/,"GLAAD rewrites the script for LGBT acceptance. As a dynamic media force, GLAAD tackles tough issues to shape the narrative and provoke dialogue that leads to cultural change.",https://glaad.nationbuilder.com/donate,http://www.glaad.org/support,http://www.facebook.com/glaad,@glaad,lgbt
Anti-Defamation League,ADL,http://www.adl.org/,"The Anti-Defamation League was founded in 1913 ""to stop the defamation of the Jewish people and to secure justice and fair treatment to all.""",https://secure2.convio.net/adl/site/SPageNavigator/donation-api/donation_form_single_main_1.html,http://www.adl.org/action-center/,https://www.facebook.com/anti.defamation.league/,@ADL_National,jews
National Immigration Law Center,NILC,https://www.nilc.org/,"Established in 1979, the National Immigration Law Center (NILC) is one of the leading organizations in the U.S. exclusively dedicated to defending and advancing the rights of low-income immigrants.",https://nilc.z2systems.com/np/clients/nilc/donation.jsp,https://www.nilc.org/get-involved/,https://www.facebook.com/NationalImmigrationLawCenter,@NILC_org,immigrants
True Colors Fund,TCF,https://truecolorsfund.org/about/,"Co-founded by Cyndi Lauper, the True Colors Fund works to end homelessness among lesbian, gay, bisexual, and transgender youth, creating a world in which young people can be their true selves.",https://my.truecolorsfund.org/checkout/donation,https://truecolorsfund.org/our-work/,https://www.facebook.com/truecolorsfund/,@TrueColorsFund,homeless youth lgbt
Sierra Club,,http://www.sierraclub.org/,"Founded by legendary conservationist John Muir in 1892, the Sierra Club is now the nation's largest and most influential grassroots environmental organization -- with more than two million members and supporters.",https://vault.sierraclub.org/ways-to-give/,http://www.sierraclub.org/programs,http://facebook.com/sierraclub,@sierraclub,environmental
EarthJustice,,http://earthjustice.org/,Today’s environmental challenges are greater than ever. But we live in a country of strong environmental laws—and Earthjustice holds those who break our nation’s laws accountable for their actions.,https://secure.earthjustice.org/site/Donation2,http://earthjustice.org/action,https://facebook.com/Earthjustice,@earthjustice,environmental
Greenpeace USA,,http://www.greenpeace.org/usa/,Greenpeace is the leading independent campaigning organization that uses peaceful protest and creative communication to expose global environmental problems and to promote solutions that are essential to a green and peaceful future.,https://secure3.convio.net/gpeace/site/Donation2?df_id=3241&3241.donation=form1&autologin=true&s_src=gpwebsite,http://www.greenpeace.org/usa/get-involved/,https://www.facebook.com/greenpeaceusa,@greenpeaceusa,environmental
Everytown for Gun Safety,,http://everytown.org/,Everytown is a movement of Americans working together to end gun violence and build safer communities.,https://donate.everytown.org/donate/support-everytown-t1/,http://everytown.org/act/,https://www.facebook.com/everytownUSA,@everytown,guns
Center for Constitutional Rights,CCR,http://ccrjustice.org/,The Center for Constitutional Rights is dedicated to advancing and protecting the rights guaranteed by the U.S. Constitution and the Universal Declaration of Human Rights.,http://ccrjustice.org/donate,http://ccrjustice.org/home/get-involved,https://www.facebook.com/CenterforConstitutionalRights,@theCCR,civil_rights
Project Night Night,PNN,http://www.projectnightnight.org/,"Project Night Night donates over 25,000 Night Night Packages each year to homeless children 12 and under who need our childhood essentials to have a concrete and predictable source of security and an increased exposure to high-quality literacy materials during their time of upheaval.",http://www.projectnightnight.org/donate-money/,http://www.projectnightnight.org/get-involved/,https://www.facebook.com/projectnightnight,@projectnightx2,homeless youth
Brennan Center for Justice,,http://www.brennancenter.org/,The Brennan Center for Justice at NYU School of Law is a nonpartisan law and policy institute that seeks to improve our systems of democracy and justice.,https://donatenow.networkforgood.org/BrennanCenterforJustice,http://www.brennancenter.org/get-involved,https://www.facebook.com/BrennanCenter,@BrennanCenter,civil_rights
National Network of Abortion Funds,NNAF,https://abortionfunds.org,"The National Network of Abortion Funds builds power with members to remove financial and logistical barriers to abortion access by centering people who have abortions and organizing at the intersections of racial, economic, and reproductive justice.",https://org2.salsalabs.com/o/6713/p/salsa/donation/common/public/?donate_page_KEY=14288&okay=true,,https://facebook.com/NationalNetworkofAbortionFunds,@abortionfunds,women reproduction
MoveOn,,http://front.moveon.org/,"MoveOn is the largest independent, progressive, digitally-connected organizing group in the United States. Launched in 1998, MoveOn pioneered online organizing and advocacy techniques that have become standard in politics, nonprofits, and industry in the U.S. and worldwide.",https://act.moveon.org/donate/civ-donation,,http://www.facebook.com/moveon,@moveon,civil_rights
